Netgear ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
Netgear & Barco,,,,,,,,,
,,,,,,,,,
Sr No.,Description,Model No,Buy Price,,,GST,MSRP,Updated Date,Remarks
,,,INR,INR with Margin ,USD,,,,
1,24x1G PoE+ 480W 2x1G and 4xSFP+ Managed Switch,GSM4230PX,122000,158600,1888.095238,0.18,,,
2,16x1G/10G Fiber SFP+ Managed Switch,XSM4216F,89000,115700,1377.380952,0.18,,,
3,Access Point â€“ ,WAX-630,31500,40950,487.5,0.18,,,
4,"8x1G PoE+ 125W 2x1G and 2xSFP Managed Switch Netgear
 AV Line M4250-10G2F-PoE+",Netgear GSM4212P,51500,66950,797.0238095,0.18,,2023-08-09 00:00:00,
5,Netgear switcher,GS724TP Version,25500,33150,394.6428571,0.18,,2023-08-18 00:00:00,
6,Netgear switcher,Netgear GS308V3,2700,3510,41.78571429,0.18,,2023-09-16 00:00:00,
7,Netgear switch,GS316Ep,19800,25740,306.4285714,0.18,,2023-11-08 00:00:00,
8,Netgear Switch,Netgear GS305P,4200,5460,65,0.18,,2023-12-31 00:00:00,
9,Netgear POE switch,GSM4230PX,116000,150800,1795.238095,0.18,,2024-05-04 00:00:00,
10,Netgear POE switch,WAX630,29500,38350,456.547619,0.18,,2024-05-28 00:00:00,
11,AV Line M4250-10G2XF-PoE++,GSM4212UX,92000,119600,1423.809524,0.18,,2025-07-16 00:00:00,
12,,,,,,,,,
13,,,,,,,,,
,,,,,,,,,
Barco,,,,,,,,,
,,,,,,,,,
Sr No.,Description,Model No,Buy Price,,,GST,MSRP,Updated Date,Remarks
,,,INR,INR with Margin ,USD,,,,
1,Wireless presentation,Barco Clickshare CX-30,188000,244400,2909.52381,0.18,,2025-06-26 00:00:00,
2,Clickshare C-10,Barco C-10,90000,117000,1392.857143,0.18,,2023-09-14 00:00:00,
3,Clickshare button GEN 4,Barco,14000,18200,216.6666667,0.18,,2023-09-14 00:00:00,
4,Clickshare CX-30GEN2,Barco CX-30,177000,230100,2739.285714,0.18,,2023-10-13 00:00:00,
5,Wireless conferencing system,CX-30,173000,224900,2677.380952,0.18,,2023-08-16 00:00:00,
6,Wireless Conferencing Device,CX50,,0,0,0.18,330808,,
7,Wireless Collaboration Device,C 5,,0,0,0.18,103513,,
8,Wireless Collaboration Device with One USB button,C 10,94000,122200,1454.761905,0.18,,2025-07-04 00:00:00,
9,Clickshare Additional Button,Clickshare Button,,0,0,0.18,27233,,
10,Wireless conferencing system ,CX20,148000,192400,2290.47619,0.18,222474,2025-02-07 00:00:00,
