Netgear ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
,,,,
Sr No.,Description,Model No,Updated Date,Remarks
,,,,
1,24x1G PoE+ 480W 2x1G and 4xSFP+ Managed Switch,GSM4230PX,,
2,16x1G/10G Fiber SFP+ Managed Switch,XSM4216F,,
3,Access Point â€“ ,WAX-630,,
4,"8x1G PoE+ 125W 2x1G and 2xSFP Managed Switch Netgear
 AV Line M4250-10G2F-PoE+",Netgear GSM4212P,2023-08-09 00:00:00,
5,Netgear switcher,GS724TP Version,2023-08-18 00:00:00,
6,Netgear switcher,Netgear GS308V3,2023-09-16 00:00:00,
7,Netgear switch,GS316Ep,2023-11-08 00:00:00,
8,Netgear Switch,Netgear GS305P,2023-12-31 00:00:00,
9,Netgear POE switch,GSM4230PX,2024-05-04 00:00:00,
10,Netgear POE switch,WAX630,2024-05-28 00:00:00,
11,AV Line M4250-10G2XF-PoE++,GSM4212UX,2025-07-16 00:00:00,
12,,,,
13,,,,
,,,,
Barco,,,,
,,,,
Sr No.,Description,Model No,Updated Date,Remarks
,,,,
1,Wireless presentation,Barco Clickshare CX-30,2025-06-26 00:00:00,
2,Clickshare C-10,Barco C-10,2023-09-14 00:00:00,
3,Clickshare button GEN 4,Barco,2023-09-14 00:00:00,
4,Clickshare CX-30GEN2,Barco CX-30,2023-10-13 00:00:00,
5,Wireless conferencing system,CX-30,2023-08-16 00:00:00,
6,Wireless Conferencing Device,CX50,,
7,Wireless Collaboration Device,C 5,,
8,Wireless Collaboration Device with One USB button,C 10,2025-07-04 00:00:00,
9,Clickshare Additional Button,Clickshare Button,,
10,Wireless conferencing system ,CX20,2025-02-07 00:00:00,
